Order_ID,Order_Date,Region,Product,Category,Quantity,Price,Cost
1001,26-02-2024,North,Laptop,Electronics,3,800,600
1002,27-02-2024,West,Headphones,Electronics,4,150,100
1003,01-01-2024,North,Chair,Furniture,5,120,80
1004,29-03-2024,West,Chair,Furniture,3,120,80
1005,23-02-2024,West,Laptop,Electronics,10,800,600
1006,08-02-2024,North,Headphones,Electronics,1,150,100
1007,10-01-2024,East,Table,Furniture,5,300,200
1008,25-04-2024,North,Laptop,Electronics,1,800,600
1009,30-04-2024,North,Headphones,Electronics,4,150,100
1010,31-01-2024,South,Headphones,Electronics,10,150,100
1011,25-04-2024,West,Table,Furniture,2,300,200
1012,11-01-2024,West,Phone,Electronics,1,500,350
1013,07-04-2024,South,Phone,Electronics,10,500,350
1014,27-03-2024,East,Laptop,Electronics,9,800,600
1015,26-03-2024,West,Table,Furniture,4,300,200
1016,12-04-2024,North,Table,Furniture,3,300,200
1017,01-01-2024,North,Table,Furniture,7,300,200
1018,29-04-2024,South,Chair,Furniture,7,120,80
1019,20-03-2024,North,Table,Furniture,8,300,200
1020,10-04-2024,North,Table,Furniture,3,300,200
1021,07-03-2024,East,Table,Furniture,1,300,200
1022,17-04-2024,South,Laptop,Electronics,8,800,600
1023,15-04-2024,North,Phone,Electronics,2,500,350
1024,16-01-2024,West,Headphones,Electronics,4,150,100
1025,21-01-2024,West,Headphones,Electronics,9,150,100
1026,23-04-2024,North,Phone,Electronics,1,500,350
1027,14-01-2024,South,Phone,Electronics,1,500,350
1028,12-04-2024,South,Laptop,Electronics,6,800,600
1029,16-01-2024,East,Phone,Electronics,7,500,350
1030,08-01-2024,East,Laptop,Electronics,2,800,600
1031,15-03-2024,East,Phone,Electronics,3,500,350
1032,21-02-2024,East,Headphones,Electronics,2,150,100
1033,22-02-2024,South,Phone,Electronics,7,500,350
1034,07-02-2024,East,Headphones,Electronics,9,150,100
1035,22-01-2024,West,Headphones,Electronics,10,150,100
1036,26-02-2024,West,Chair,Furniture,2,120,80
1037,06-04-2024,South,Headphones,Electronics,6,150,100
1038,06-04-2024,North,Headphones,Electronics,6,150,100
1039,14-03-2024,South,Laptop,Electronics,9,800,600
1040,03-01-2024,West,Laptop,Electronics,3,800,600
1041,06-03-2024,West,Chair,Furniture,9,120,80
1042,22-03-2024,South,Headphones,Electronics,9,150,100
1043,14-04-2024,South,Phone,Electronics,3,500,350
1044,15-01-2024,North,Table,Furniture,8,300,200
1045,28-03-2024,West,Laptop,Electronics,2,800,600
1046,25-03-2024,East,Laptop,Electronics,7,800,600
1047,06-01-2024,West,Table,Furniture,1,300,200
1048,23-01-2024,North,Table,Furniture,8,300,200
1049,08-01-2024,West,Laptop,Electronics,4,800,600
1050,09-04-2024,South,Chair,Furniture,1,120,80
1051,06-02-2024,West,Laptop,Electronics,6,800,600
1052,09-03-2024,West,Chair,Furniture,10,120,80
1053,09-02-2024,East,Headphones,Electronics,8,150,100
1054,02-04-2024,East,Headphones,Electronics,10,150,100
1055,12-04-2024,South,Phone,Electronics,8,500,350
1056,01-02-2024,North,Table,Furniture,4,300,200
1057,05-02-2024,East,Headphones,Electronics,9,150,100
1058,22-03-2024,South,Phone,Electronics,10,500,350
1059,23-03-2024,West,Laptop,Electronics,4,800,600
1060,20-04-2024,North,Chair,Furniture,10,120,80
1061,19-01-2024,East,Headphones,Electronics,1,150,100
1062,29-03-2024,South,Laptop,Electronics,5,800,600
1063,05-03-2024,North,Phone,Electronics,4,500,350
1064,19-04-2024,South,Headphones,Electronics,6,150,100
1065,21-03-2024,South,Phone,Electronics,5,500,350
1066,16-02-2024,North,Phone,Electronics,5,500,350
1067,05-04-2024,West,Chair,Furniture,1,120,80
1068,29-04-2024,North,Laptop,Electronics,6,800,600
1069,29-01-2024,East,Laptop,Electronics,8,800,600
1070,25-01-2024,East,Headphones,Electronics,6,150,100
1071,04-01-2024,West,Headphones,Electronics,2,150,100
1072,25-01-2024,South,Phone,Electronics,1,500,350
1073,28-04-2024,West,Table,Furniture,2,300,200
1074,20-01-2024,North,Headphones,Electronics,2,150,100
1075,02-01-2024,East,Headphones,Electronics,5,150,100
1076,04-04-2024,North,Chair,Furniture,6,120,80
1077,28-01-2024,South,Headphones,Electronics,4,150,100
1078,25-04-2024,West,Table,Furniture,1,300,200
1079,10-02-2024,South,Headphones,Electronics,2,150,100
1080,12-03-2024,West,Laptop,Electronics,3,800,600
1081,26-04-2024,West,Laptop,Electronics,5,800,600
1082,16-01-2024,South,Table,Furniture,2,300,200
1083,23-04-2024,East,Chair,Furniture,7,120,80
1084,03-01-2024,East,Table,Furniture,2,300,200
1085,25-02-2024,West,Chair,Furniture,8,120,80
1086,31-01-2024,West,Laptop,Electronics,7,800,600
